UMAP1,UMAP2,temp
-0.42622784,1.8862836,408.0
-0.42876342,1.8549526,408.5
-0.5121825,1.8961765,409.0
-0.47560245,1.8559605,409.5
-0.5424882,1.7891675,410.0
-0.6684704,1.6459291,410.5
-0.8984904,0.287077,411.0
-0.87057817,0.25493395,411.5
-0.8724459,0.24713027,412.0
-0.80160725,0.123539604,412.5
-0.8344828,0.21758156,413.0
-0.8413375,0.26705632,413.5
-0.7843884,0.21787709,414.0
-0.9416894,0.3537994,414.5
-0.89181787,0.24638714,415.0
-0.8463474,0.20450535,415.5
-0.90981334,0.13290687,416.0
-0.8450763,0.026058737,416.5
-0.8068784,0.17744836,417.0
-0.7804026,0.08254645,417.5
-0.79498905,0.13431615,418.0
-0.7161561,-0.21538903,418.5
-0.6335194,-0.22885825,419.0
-0.691503,-0.29533577,419.5
-0.61814004,-0.56780994,420.0
-0.63848794,-0.61072224,420.5
-0.6167012,-0.6525594,421.0
-0.5891872,-0.728313,421.5
-0.5683575,-0.68524694,422.0
-0.58138514,-0.70719504,422.5
-0.52939564,-1.0182153,423.0
-0.5095112,-1.1290982,423.5
-0.5230772,-1.1528451,424.0
-0.5024106,-1.1315601,424.5
-0.442288,-1.2980742,425.0
-0.45925516,-1.3392276,425.5
-0.4933734,-1.2485561,426.0
-0.38277772,-1.4025204,426.5
-0.47130737,-1.3173678,427.0
-0.48204643,-1.3221965,427.5
-0.43552396,-1.3539464,428.0
-0.4773177,-1.4318814,428.5
-0.40058583,-1.4677935,429.0
-0.40424192,-1.4746939,429.5
-0.26703146,-2.020679,430.0
-0.17939493,-2.3254628,430.5
-0.13888958,-2.4849885,431.0
-0.083418325,-2.6773999,431.5
-0.15357603,-2.6131945,432.0
-0.11615174,-2.748433,432.5
-0.106645316,-2.65252,433.0
-0.029807629,-2.7513585,433.5
0.0068204287,-2.7450182,434.0
-0.019554758,-2.8071837,434.5
-0.059443414,-2.767997,435.0
-0.07795754,-2.6778276,435.5
-0.026233379,-2.8026264,436.0
-0.031311847,-2.7919028,436.5
-0.11036438,-2.780949,437.0
0.013816246,-2.8211224,437.5
0.011567396,-2.9685302,438.0
0.042161956,-2.9271872,438.5
0.008793739,-3.028306,439.0
-0.10768247,-2.9113307,439.5
0.1096448,-3.5207107,440.0
0.19709934,-3.519501,440.5
0.12755933,-3.4854498,441.0
0.11203808,-3.5223386,441.5
0.15245631,-3.5840127,442.0
0.1412271,-3.5664241,442.5
0.12868658,-3.5640283,443.0
0.14480948,-3.6433444,443.5
0.186027,-3.6601207,444.0
0.26221323,-3.7077212,444.5
0.24765855,-3.7072034,445.0
0.13515593,-3.580578,445.5
0.28278458,-3.6843667,446.0
0.19133575,-3.6060934,446.5
0.29709798,-3.7255301,447.0
0.26589516,-3.674872,447.5
