temp,UMAP1,UMAP2,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Grid_X,Grid_Y,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10
266.5,-11.621259,-7.117914,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
267.0,-10.397528,-7.2988124,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
267.5,-10.436766,-7.7401977,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
268.0,-11.344818,-7.407084,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
268.5,-10.897768,-6.597093,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
269.0,-10.38894,-7.822744,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
269.5,-11.0703945,-8.182441,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
270.0,-11.278807,-7.831496,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
270.5,-11.150228,-8.156426,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
271.0,-11.521012,-7.6008506,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
271.5,-10.790414,-6.9490757,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
272.0,-10.840504,-6.863251,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
272.5,-10.3948345,-6.99387,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
273.0,-11.372049,-7.6487036,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
273.5,-11.300433,-7.8174086,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
274.0,-10.603019,-7.330162,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
274.5,-11.111437,-6.581677,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
275.0,-10.895022,-6.5383973,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
275.5,-11.163645,-5.9556136,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
276.0,-10.975917,-6.17688,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
276.5,-10.81576,-7.84929,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
277.0,-10.723563,-7.248341,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
277.5,-10.466545,-6.850585,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
278.0,-10.420884,-6.8671737,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
278.5,-10.594904,-6.7274923,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
279.0,-10.677273,-6.3443527,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
279.5,-11.092232,-6.0133886,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
280.0,-10.94385,-6.1162906,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
280.5,-11.012295,-8.470571,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
281.0,-10.905316,-8.432071,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
281.5,-11.167188,-8.334922,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
282.0,-11.049363,-8.502002,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
282.5,-11.033728,-8.466694,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
283.0,-11.045517,-8.486312,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
283.5,-10.976616,-8.455876,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
284.0,-10.155152,-6.559418,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
284.5,-10.141482,-6.3503675,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
285.0,-10.249904,-6.46675,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
285.5,-10.156885,-6.3662953,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
